slot_id,biography_id,biography_traditional
166,179,"劉表麾下之將，江夏的守將。在酒席上斬
殺了奇才禰衡。冷淡對待海賊出身的甘寧
，致使其降吳，後來遭到已經成為吳將的
甘寧攻打，不敵被殺。"
167,329,"公孫瓚之弟。以使者的身份，向袁紹交涉
分割冀州，但袁紹不從，於歸路時遭到伏
兵暗殺。"
168,86,"燕王。公孫康之子。趁魏、吳戰亂自稱燕
王，對魏國發動叛亂，後來敗給司馬懿率
領的討伐軍，投降不成，在企圖逃亡時被
斬殺。"
169,331,"公孫康之弟。建議公孫康殺了袁熙等人，
再將首級獻給曹操。兄長死後，繼承其爵
位，被任命為車騎將軍，但後來被姪子公
孫淵奪去位子。"
170,330,"公孫度之子。斬了敗給曹操軍後逃來的袁
熙、袁尚兄弟，將首級獻給曹操。由於此
功績，被曹操授予襄平侯、左將軍之位。"
171,38,"東漢的北平太守，與劉備一起師從盧植。
所率精銳部隊全數騎乘清一色的白馬，在
討伐黃巾黨和鎮壓外族中表現活躍。"
172,509,"公孫瓚的兒子。和父親一起大戰袁紹，於
易京之戰中大敗，在失火的樓閣中與父母
一同自殺。此人只記載於正史裡。"
173,264,"東漢的遼東太守、武威將軍，建有討伐烏
丸的功績，公孫康之父。在中原戰亂不斷
之際，仍能在遼東保持獨立。"
174,508,"公孫瓚的堂弟。為了安撫為弟弟公孫越報
仇而出兵的公孫瓚，袁紹將渤海太守印綬
，讓給了公孫範。此人只記載於正史裡。"
175,57,"東漢的豫州刺史，率軍加入反董卓聯盟。
據正史記載，此人擅長批判人物、清談高
論，但是作為軍隊的指揮官，卻是個無能
之輩。"
176,23,"蜀漢之將，曾先後為劉表、韓玄效力過。
在韓玄的麾下時，與關羽有過一場激戰，
歸順劉備後，也領軍活躍在戰場上。劉備
即位漢中王時，被任命為五虎大將。"
177,332,"蜀漢之臣，越雋太守。與雍闓一起發動叛
亂，可是中了諸葛亮的離間計，只好投降
。後來因誅殺雍闓、朱褒有功，被任命為
益州太守。"
178,333,"劉璋麾下之將，與楊懷一起負責涪水關的
守備。計劃暗算劉備，但是被劉備的軍師
龐統發覺，自己反而上當被斬。"
179,451,"魏將。２６３年，在鍾會與鄧艾攻打蜀漢
時，擔任鍾會的參軍。"
180,201,"東漢之臣。黃巾之亂時，用火攻大破張梁
、張寶軍，掘出張角之墓，從屍體上砍下
首級。一度下野，董卓死後又回朝為官。
任太尉。"
181,58,"東漢的北海太守，孔子第二十代子孫，「
建安七子」之一。參加過討伐董卓聯盟，
後來為曹操效力，但是因為勸阻其攻打劉
備而被處死。"
182,239,"袁紹麾下之將。官渡之戰中與曹操軍的猛
將許褚交戰，後來與同僚張郃一起歸順曹
操。日後攻打汝南的劉備軍，斬殺了劉辟
。"
183,624,"蜀漢的尚書，張苞之子，張飛之孫。當鄧
艾越過陰平攻打綿竹時，和諸葛瞻一同守
備城池，後來諸葛瞻父子戰死，他也出城
殺出，力戰而亡。"
184,602,"東吳的左將軍。當孫皓欲舉兵伐晉時，陸
抗上奏不可，於是孫皓怒而罷其兵權，並
令孫冀代領其軍，擔任總指揮。"
185,495,"沒有出現在演義中。據正史記載，曾得到
劉表之助而任蒼梧太守，與劉備是舊識。
後來被孫權派遣的交州刺史步騭，以不服
從為由斬殺。"
186,472,"吳將，建平太守。由長江之中漂流而來的
大量木屑，得知晉軍正在建造軍船準備來
犯。後來死守建平郡以擋晉軍，在得知吳
主孫皓降晉後，也跟著投降。"
187,473,"魏臣，長史，諸葛誕的心腹。叛亂之時為
請求援軍而任使者赴吳，以諸葛誕之子諸
葛靚為人質，並送到東吳，完成了使命。"
188,603,"東吳的前將軍。率領水軍迎擊進逼建業的
晉朝王濬軍，但士兵皆逃亡，只好開城投
降，讓晉軍進入石頭城。"
189,461,"吳將。孫策死後，孫權召募江東人材時應
召而來。當孫和與孫霸爭奪繼位時，因為
擁立孫和，受了讒言而死在獄中。"
190,466,"魏將，東莞太守。２２８年，東吳的周魴
詐降時，與滿寵一起納入賈逵的旗下，以
防備吳軍。"
191,335,"魏臣，朝歌縣長。曹丕與曹植爭位時，躲
在裝絹匹的箱子中，載入曹丕府密談商議
，此事經人告發後，之後只在箱子中裝絹
布，才逃過責難。"
192,292,"張繡麾下的勇士，外族出身，是張繡軍中
頭號豪傑，據說能背負五百斤並日行七百
里。與曹操作戰時，建議盜取典韋的雙戟
，並親自實行計劃。"
193,240,"魏將，征東將軍。討伐公孫淵時擔任先鋒
，後來毌丘儉叛亂，與鄧艾、王基一起指
揮兵馬，打敗毌丘儉，平定了淮南一帶。"
194,485,"董卓的武將。當袁紹的聯軍攻打董卓時，
以守衛汜水關的華雄副將參戰，後來被孫
堅軍的程普所殺。"
195,486,"顧雍之孫，與諸葛恪等人為孫登的太子四
友。當孫和與孫霸爭奪繼位時，由於擁立
孫和，被孫霸的親信陷害，因而被流放，
憤死他鄉。"
196,604,"吳將，丁奉之弟。呼應正在綿竹城和鄧艾
交戰的諸葛瞻之請求，任丁奉副將的丁封
和孫異一起前往救援，但晚到了一步。"
197,134,"烏戈國國王，身長十二尺（約２８８公分
）的巨漢。率領刀槍不入的藤甲軍與蜀漢
軍作戰，但是在盤蛇谷被燒死。"
198,334,"王植麾下從事。奉命放火夜襲千里尋兄的
關羽，但是卻將關羽放走。後來去荊州投
奔關羽，成為劉備的屬下。"
199,180,"蜀漢將軍。吳懿的族弟，原本是劉璋的屬
下。討伐東吳時任先鋒，首次旗開得勝，
在夷陵包圍了孫桓。北伐戰中，被魏將張
虎、樂琳射殺。"
200,208,"晉將。鎮壓了諸葛誕的叛亂，並任平南將
軍參加討伐東吳。反對杜預的急進策略，
卻被杜預以「應利用此破竹之勢」駁回。"
201,181,"吳臣。原來是蔡邕門生，經張紘推薦，為
孫權效力。孫權即帝位時，被封為丞相。
據說此人沉默寡言，滴酒不沾。"
202,182,"劉備麾下之將。原本是劉璋屬下，劉備入
蜀後就歸順了劉備。跟隨馬超，在漢中對
魏作戰中表現活躍。斜谷之戰中，與曹操
之子曹彰交手，不敵被殺。"
203,625,"魏國的牙門將軍，負責守衛合淝新城。當
吳國的諸葛恪包圍新城，即將攻破時，他
假意投降，等修好城牆後又再登城罵戰，
頑強抵抗直到吳軍退兵。"
204,464,"袁紹麾下大臣。因為獻計不被採納，辭官
不做。袁紹失敗後，成為曹操的屬下。因
為反對曹操即魏王之位，被投入牢獄，賜
死於在獄中。"
205,336,"蔡瑁的堂弟。赤壁之戰中與蔡中一起投降
東吳，可是，識破他們詐降的周瑜趁機使
「苦肉計」，藉他們的手傳假情報給曹操
。"
206,490,"吳將。２７２年，西陵的步闡投降晉朝時
，加入陸抗的麾下，與左奕、吾彥一起包
圍西陵。"
207,337,"蔡瑁的堂弟。與蔡和一起擔任細作詐降東
吳，可是被周瑜識破，令其帶路直到曹操
水寨。最後被甘寧殺死。"
208,87,"劉表麾下之將。荊州豪族出身，劉表繼室
蔡夫人之弟。欲使劉琮繼承荊州，企圖暗
算眼中釘劉備，但以失敗告終。擅長指揮
水軍。"
209,503,"吳將。２７２年，西陵的步闡投降於晉時
，在陸抗的指揮下包圍西陵。"
210,338,"原在陶謙麾下，曾侵佔運送的物資興建寺
廟。後來成為劉繇屬下與孫策作戰，戰敗
後與劉繇一起投奔劉表。"
211,626,"東吳的司空。２７９年，司馬炎下令攻打
吳國，勢不可擋之際，孫皓向他詢問應對
之策。"
212,605,"魏國鄧艾的參謀。２６３年，鄧艾被姜維
大敗時，賄賂蜀國的黃皓，散佈姜維已降
魏的假消息，迫使蜀帝急召姜維退兵。"
213,49,"魏臣。為曹氏四代效力，構築了晉王朝的
根基。與蜀漢作戰時採取防守戰略，獲得
了勝利。與曹爽爭鬥，掌握住魏國實權。
晉建國後，追諡為宣帝。"
214,209,"晉朝的開國皇帝，司馬昭的長子。強迫魏
帝曹奐讓位，建立了晉朝，並接受羊祜和
杜預的建議伐吳，逼使吳帝孫皓投降，最
終統一了大陸。是為晉武帝。"
215,88,"魏臣，司馬懿的長子。父親死後，成為魏
國大將軍，威風不可一世。由於廢了曹芳
，致使毌丘儉叛亂。因眼睛上的瘤惡化，
最後致死，追諡為景帝。"
216,89,"魏臣，司馬懿的次子。與兄長司馬師一起
執掌大權，兄死後，繼承大將軍之位。２
６３年平定蜀漢，成為晉王，但不久後便
病死，追諡為文帝。"
217,606,"魏國的散騎常侍。深受司馬昭的信任，諸
葛誕叛亂時也隨軍參戰，後來更勸諫司馬
昭立司馬炎為世子，待司馬炎即位晉王後
，和賈充一起逼曹奐禪讓。"
218,355,"魏臣，司馬懿之弟，太傅。堅守自己是魏
臣的立場，為曹髦之死落淚。司馬炎篡奪
帝位後，他仍追隨魏的廢帝曹奐。"
219,356,"魏、晉之臣。司馬孚之子，但過繼給司馬
朗當養子。擔任鄧艾的參謀與蜀漢作戰，
司馬炎即王位時被封為司徒。性貪財。"
220,279,"司馬昭的次子。由於司馬昭之兄司馬師無
子嗣，便過繼給司馬師。性格溫和，原本
要被立為世子，但司馬昭受諫不可亂長幼
之序，因此作罷。"
221,357,"東漢之臣，司馬懿之兄，官拜主簿。司馬
懿的兄弟個個優秀，號稱「八達」。根據
正史記載，他與東漢的司徒荀爽一起成為
名士的代名詞。"
222,339,"吳將。夷陵之戰中為孫桓的部將與蜀漢作
戰，與張苞對戰時，戰敗而逃，隔日被攻
入營中的張苞刺死。"
223,340,"曹操麾下之將，車騎將軍。呂布死後，劉
備進京面聖，他被命為代理暫管徐州，待
劉備返回，又受曹操之令暗殺劉備，但是
被關羽所斬。"
224,136,"五谿蠻之王，赤面碧眼，幫助劉備討伐東
吳，射殺東吳的猛將甘寧，但後來遭遇火
攻敗走時，被吳將周泰追擊而死。"
225,341,"吳將。諸葛誕叛亂之時，奉丞相孫綝之命
擔任援軍的先鋒，但接連吃敗仗，惹得孫
綝大怒，最後敗給司馬昭後，就被處斬了
。"
226,531,"東吳的合浦太守，脩則之子。父親被交趾
的守將毛炅所殺，後來在２７１年吳郡攻
打交趾時，斬殺毛炅報了父仇。"
227,342,"在演義中是為會稽太守王朗的麾下之將。
增援王朗與孫策軍的太史慈作戰，但是背
後受襲，逃入城中。後來與嚴白虎出城追
擊，中計被殺。"
228,343,"晉朝牙將。隨杜預討伐東吳，率領八百名
水軍攻打夏口，殺敵將孫歆、沈瑩，立下
大功。"
229,533,"晉的揚州刺史。２７９年，在征討東吳時
，隨同安東將軍王渾一起攻打牛渚，和討
吳護軍張翰共同大戰吳國的丞相張悌、護
軍將軍孫震、與丹陽太守沈瑩。"
230,20,"原是黃巾黨張寶的麾下之將，後來在臥牛
山落草為寇。爾後，遇到心中崇拜已久的
關羽，便成為其左右手。深諳水性。正史
中無此人。"
231,534,"東吳的前部督，合浦太守脩允之父。２６
８年，和交州刺史劉俊一起攻打交趾，但
敗給晉朝的毛炅，戰死。"
232,90,"吳將，與海賊伙伴蔣欽一起歸順孫策。宣
城被山賊攻擊時，雖身負重傷，仍奮力救
出孫權。夷陵之戰中，斬了蠻將沙摩柯。"
233,344,"魏臣，兗州刺史，率領討伐諸葛誕的右翼
軍。以鍾會的計策誘來敵軍，與石苞一同
率軍伏擊，獲得了勝利。"
234,345,"吳臣，鄱陽太守。假意投降魏將曹休，割
髮以博取信任，將曹休大軍引到石亭，自
己脫身而去。魏軍中了詐降計，受到攻擊
而大敗。"
235,91,"吳將，與主公孫策是連襟。按照孫策的遺
囑，輔佐年輕的孫權，赤壁之戰時擔任都
督指揮水軍，打敗曹操的大軍。英姿風發
，人稱美周郎。"
236,124,"吳將，負責守備防衛魏國的要塞濡須口，
用五千兵馬打敗曹仁率領的數萬大軍。孫
權即帝位後任命為前將軍。"
237,513,"吳將。娶孫權之女為妻，任職驃騎將軍，
但受到孫霸的親信讒言而左遷，後來又被
假詔賜死。只出現在正史裡。"
238,137,"南蠻王孟獲之妻，據說是火神祝融的後裔
。善武勇，慣使飛刀，曾經生擒張嶷、馬
忠，但自己隨即被魏延、馬岱所捉。"
239,267,"東漢之將，黃巾之亂時，與劉備、孫堅一
起討伐黃巾黨，立下戰功，因此被任命為
車騎將軍•河南尹。董卓死後，與李傕、
郭汜一起把持朝政。"
240,346,"吳將。夷陵之戰中率領水軍，追擊被陸遜
用火攻打敗的劉備，但是遇到趕來救援的
趙雲軍，大敗。"
241,347,"吳將。為孫氏三代效力的老將，勸說孫策
向袁術借兵自謀大業。後來被任命為吳郡
太守，赤壁之戰中擔任四方巡警使。"
242,377,"蜀漢之臣。與高定一起參加建寧太守雍闓
與孟獲聯手發動的叛亂，但中了諸葛亮的
離間計，被高定殺死。"
243,348,"曹操麾下之將。擔任監軍隨劉備討伐袁術
，但是沒完成監視的使命而返回。據正史
記載，曹操一直討厭他。"
244,44,"曹操麾下謀臣。曹操稱之為「我之子房（
即西漢著名軍師張良）」。反對曹操即位
為魏公，之後隨即病死，一說是自殺。"
245,293,"袁紹麾下之將，原來與袁紹、曹操同樣，
為西園八校尉之一。官渡之戰中把守烏巢
的糧倉，但由於喝得大醉，遭到曹操火攻
，被袁紹在盛怒之下斬首。"
246,638,"魏國的天水郡功曹，姜維的友人。由於姜
維中諸葛亮之計投降，因此他也被夏侯楙
懷疑通敵，於是和尹賞一起開城門降蜀，
之後被委任為天水太守。"
247,627,"晉朝的廣武將軍。２７９年，受司馬炎之
令，和龍驤將軍王濬一起下長江，攻入吳
國。"
248,628,"蜀將。２４９年參加姜維的第一次北伐，
和句安一起築麴山城以防魏軍，但被包圍
，於是殺出一條血路向姜維求援。"
249,251,"與高幹一起勸說冀州刺史韓馥，讓韓馥把
冀州讓給了袁紹，後來便成為袁紹的部屬
。贊同袁紹的討伐曹操計劃，並且親身投
入作戰。據正史記載，為荀彧之弟。"
250,157,"曹操麾下的大臣，荀彧之姪。擅長軍事方
面，在戰場上出過很多妙計。赤壁之戰時
與程昱一起隨軍出任參謀。"
251,535,"諸葛誕的武將。諸葛誕發動反叛司馬昭之
際，和蔣班一起加入叛變。在與司馬昭交
戰時，主張速戰速決，但不被接受，於是
投降。"
252,536,"鍾繇之子，鍾會之兄。８歲時與鍾會一起
拜見曹丕，鍾會臉色如常，他卻是滿面是
汗，曹丕問之，他回答「戰戰惶惶，汗出
如漿」。"
253,92,"蜀漢之臣。劉備在荊州時成為劉備屬下，
在內政方面發揮才能。北伐之時在後方支
援大軍，諸葛亮死後，他成為大將軍，負
責蜀國國政。"
254,93,"魏將，鍾繇的么兒。是司馬師、司馬昭的
心腹，和鄧艾一起滅了蜀漢。後來與降將
姜維聯手企圖獨立，但失敗遭魏兵所殺。"
255,349,"曹操麾下的幕僚。去勸說東吳舊友周瑜，
反而被周瑜將計就計。在正史當中，他前
去勸降時，被周瑜的忠義所感動，無言以
對而歸。"
256,350,"袁紹麾下之將。在黎陽郡迎接官渡大戰中
敗給曹操的袁紹，並且召集散兵，將袁紹
平安送回冀州。"
257,212,"吳將，與周泰一起成為名聲日盛的孫策的
手下。進攻南郡時擔任先鋒，但是大敗，
險些被處斬。征討關羽時，率領水軍包圍
了關羽。"
258,537,"蔣琬之子，蔣斌之弟。蜀漢降魏時，傳達
停戰消息給守在劍閣的姜維，翌年，在鍾
會發動叛變後，死在亂軍之中。"
259,351,"魏臣，主簿。勸阻曹操不可因害怕關羽進
攻而遷都。討伐東吳時，擔任參謀隨軍出
征。後來曹芳即帝位時，被提升為太尉。"
260,270,"蜀漢之臣，原本是劉璋的屬下。對天文有
研究，經常觀天象，勸諫孔明的出兵。從
劉備即帝位開始，直到蜀漢滅亡，均任職
光祿大夫。"
261,352,"蜀漢之將。姜維出兵伐魏，受命與傅僉一
起守備陽平關，但在鍾會軍攻到時，投降
獻關。"
262,184,"蜀漢將軍，向朗之姪。諸葛亮北伐時上奏
的「出師表」中，評價他品行公正，有軍
事才能。北伐時被任命統領後方部隊。"
263,629,"魏將。２２７年，諸葛亮開始北伐後，被
夏侯楙請出擔任魏軍的先鋒，但和其４名
兒子都戰死在趙雲之手。"
264,539,"諸葛誕的武將。當諸葛誕在壽春發起叛亂
，主張和司馬昭速戰速決，但不被接受，
於是和同僚焦彝一起投降。"
265,608,"吳將，陸抗的次子，陸遜之孫。當晉軍攻
打吳國時，在江陵迎戰杜預軍，敗走途中
，被晉國的張尚所斬殺。"
266,198,"魏臣。守衛長安，但是在馬超的猛攻之下
戰敗，使長安被奪。曹叡即位後，任命為
太傅。鍾會即是他的么兒。"
267,540,"東吳後期的武將。有果斷的軍事行動能力
，在陸機的「辯亡論」中，和丁奉等人都
名列其中。"
268,353,"劉備麾下大臣，向寵的叔父。一直為劉表
效力，在劉表死後，就歸順了劉備，之後
便輔佐關羽，守備荊州。"
269,265,"董卓麾下之將。遷都長安的途中，追擊中
了呂布伏兵襲擊而敗走的曹操軍，一箭射
中曹操肩頭，可是，自己卻被趕來救援的
夏侯惇殺死。"
270,94,"吳臣，諸葛瑾的長子。幼年時就聰明伶俐
，得到孫權喜愛。陸遜死後，成為太傅，
把持朝政，但在合淝新城打了敗仗，從此
失去人心，被孫峻暗殺。"
271,46,"東吳之臣，諸葛亮之兄。經魯肅推薦，為
東吳效力。胸襟寬廣、溫厚誠信，得到孫
權的深深信賴。一生都在致力於緩和蜀漢
與東吳的關係。"
272,298,"諸葛瑾、諸葛亮的小弟。與二哥諸葛亮在
臥龍崗一起過著晴耕雨讀的生活。諸葛亮
出仕後，也一起加入蜀漢，任長水校尉。"
273,607,"魏國的金城太守。２６３年，隨鄧艾攻打
蜀國，在沓中大戰姜維，燒了蜀軍在甘松
的營地。"
274,285,"蜀漢之將，諸葛瞻的長子，諸葛亮之孫。
精通各項武藝，隨諸葛瞻出戰，在綿竹關
擔任先鋒與鄧艾交手，但寡不敵眾而戰死
。"
275,354,"諸葛誕之子。赴往東吳作為人質，父親戰
死後仕官於吳，擔任右將軍迎擊晉軍，但
不敵而敗。吳國滅後，子諸葛恢則歸順於
晉。"
276,185,"蜀漢之臣，諸葛亮之子。十七歲時娶劉禪
之女為妻，在綿竹關迎擊魏軍，大破鄧忠
、師纂，但後來等不到援軍而出擊，戰敗
後自殺。"
277,95,"魏將，諸葛亮的堂弟，魏國鎮東將軍。不
滿司馬昭專橫跋扈，借助東吳之力發動叛
亂，但是失敗戰死沙場。當時屬下數百人
都為他殉死。"
278,45,"蜀漢的丞相，人稱「臥龍先生」。因受三
顧茅廬之禮而為劉備效力，在外交、內政
方面發揮出非凡的才能。五次北伐，最後
病死在五丈原。諡號忠武侯。"
279,37,"魏將。本是楊奉的部屬，但是接受滿寵的
勸說，因而歸順曹操。智勇兼備，成為曹
操的主力轉戰各地。受封為魏國的平南將
軍。"
280,361,"魏將，輔國將軍。慣使大斧，司馬師對其
武勇評價極高。與廖化、張翼交戰，將二
人擊退，但在鐵籠山與姜維交手，敗在姜
維槍下。"
281,39,"司馬徽的門下生。善擊劍。擔任劉備的軍
師表現活躍，但是由於其母落入曹操之手
，不得已而歸順曹操，臨走之時，向劉備
推薦了臥龍先生諸葛亮。"
282,125,"吳將。隨軍參加了赤壁、合淝、荊州等戰
役。曹丕進攻東吳時，被任命為安東將軍
指揮吳軍，用疑兵使魏軍混亂，最後獲得
勝利。"
283,511,"魏國武將，鎮壓外族有功。在諸葛亮第一
次北伐時為涼州刺史。嗜酒，違反了禁酒
令，但是機智的應付過去。正史中登場。"
284,358,"吳將，左將軍。跟隨張悌抵抗晉的攻勢，
由於戰局不利，曾一度勸說投降，但張悌
決心抗戰到底，便與張悌一起誓死作戰，
最後被晉將周旨所殺。"
285,457,"申耽之弟。和孟達一起投降魏國，並且任
金城太守。當孟達欲再次回歸蜀國時，與
兄長一同密告司馬懿，消滅了孟達。"
286,289,"吳臣，演義中是宦官。受吳帝孫皓寵愛，
因此更是助紂為虐。東吳滅亡時，群臣大
罵「今日之禍，皆岑昏之罪」，便將他砍
成肉泥。"
287,550,"辛毗之子，曹爽的參軍。當司馬懿謀反時
，聽從其姐辛憲英之言，趕往曹爽之處共
赴其難。"
288,359,"魏將，上庸太守。曹操放棄漢中以後，他
投降蜀漢，在孟達手下任上庸都尉，但又
勸說孟達降魏，後來還阻止孟達回歸蜀國
。"
289,96,"袁紹麾下大臣，荀彧評價他為人好強而無
謀。袁紹死後，擁立袁尚。在被曹操軍俘
虜後，拒不投降，死前面向主公所在的北
方受刑。"
290,186,"魏臣，辛評之弟。原本為袁氏效力，輔佐
袁譚，袁氏滅亡後改投入曹操軍中。曾送
聖旨給在五丈原與諸葛亮對峙的魏軍，阻
止了急欲出征的將士。"
291,158,"韓馥麾下大臣。韓馥逃亡後，為袁氏效力
，擔任袁譚的參謀，表現活躍。出任使者
去面見曹操時，被勸說留下，但他堅辭未
從。"
292,360,"劉璋麾下之臣。曾譴責劉備使者簡雍的傲
慢態度，日後成為劉備屬下，卻因勸諫討
伐東吳是無謀之舉，而被打入大牢。後來
在酒席上，說得東吳使者張溫無言以對。"
293,640,"晉的冠軍將軍，司馬炎的楊皇后之叔父。
２７９年，晉發兵征討東吳時，在杜預的
指揮下駐守襄陽，監督各軍。後來死於八
王之亂中。"
294,470,"河內太守張楊的屬下。眭固在張楊被楊醜
殺死後，殺掉楊醜投靠袁紹。後遭到曹操
軍的進攻，陣亡。據正史記載，是出身於
黑山的山賊。"
295,514,"東漢大臣。為了對抗黃巾黨眾，建議幽州
太守劉焉召募義勇軍。率領應召的劉備等
人在討伐黃巾黨時，立下了赫赫戰功。"
296,551,"公孫瓚麾下的漁陽太守。和原劉虞麾下的
鮮于輔所推薦的閻柔爭戰，遭閰柔所率領
的烏丸、鮮卑軍聯合軍襲擊漁陽，因而戰
死。"
297,362,"韓遂麾下的「旗本八騎」之一。和馬超一
起攻打長安，但是誤入敵人空營，被大軍
包圍，死在夏侯淵刀下。"
298,552,"吳將。２６４年，蜀漢被魏國滅後，在陸
抗的指揮下，與步協、留平等人一起攻打
巴東的羅憲。"
299,462,"魏、晉的武將。在諸葛誕叛魏後的討伐戰
中，率領伏兵表現活躍，後來晉朝建立，
被司馬炎封為驃騎將軍。"
300,474,"吳臣，薛綜之子，光祿勳。當晉軍攻入，
孫皓正準備自殺時，進言「何不效安樂公
劉禪？」。"
301,559,"薛綜之子，薛瑩之兄。２６１年被遣至蜀
漢，回國後，把蜀國的腐敗傳達給孫休知
情。後來與虞汜、陶璜等人攻打交趾，歸
途中病死。"
302,363,"吳臣，應孫權邀請，輔佐孫權。是管理民
政的能人，也是東吳屈指可數的文學家，
後來被任命為太子少傅。曾經舌戰諸葛亮
，但並非其對手。"
303,475,"吳將，全端之子，全琮之孫。率軍支援反
魏的諸葛誕，但被司馬昭的大軍包圍後投
降，降後封為魏國的偏將軍。"
304,558,"吳國的全琮之子，全端之弟，全禕的叔父
。魏國的諸葛誕發動叛亂時，被孫綝派往
增援，後來孫綝撤退到建業，就與全禕一
起投降了司馬昭。"
305,648,"蜀將。與握有實權的宦官黃皓不睦，被左
遷至巴東，擔任閻宇的副將。成都陷落後
，仍重兵鎮守以防東吳陸抗等人來犯。"
306,510,"公孫瓚麾下的武將。被任命為并州刺史，
負責防備袁紹，後來敗給幫助袁紹的曹操
軍。此人只出現在正史裡。"
307,649,"蜀將，李恢之姪。２６３年，魏國鄧艾發
兵攻打蜀國時，與諸葛瞻一起在綿竹關死
守，後來諸葛瞻父子陣亡，隨即和張遵、
黃崇等人殺出，最後戰死。"
308,249,"吳將。在討伐山越時立下大功。與陸遜一
起出兵，大破周魴詐降騙來的魏軍，打敗
魏國的薛喬，獲得勝利。"
309,476,"吳將，全琮之子，全懌之兄。呼應諸葛誕
叛亂的孫楙命令他守備壽春，與魏軍交戰
，但他採納兒子全禕的建議，與全懌一起
投降。"
310,364,"曹丕之子（正史中為曹操之子），燕王。
曹叡命他為大將軍，輔佐曹芳，他堅持不
受。"
311,59,"魏國第二代皇帝。重用司馬懿、曹真等人
與蜀漢、東吳抗爭。或許是諸葛亮之死使
其自認高枕無憂，晚年極度奢華，不斷營
造宮宇，使魏國走向衰敗。諡號魏明帝。"
312,277,"魏國燕王曹宇之子，魏朝最後的皇帝。被
司馬昭迎回即位，但又遭到晉王司馬炎逼
迫禪讓退位，降為陳留王。"
313,365,"魏將，曹真的次子，曹爽之弟。提醒奪得
司馬懿兵權後傲慢無度的兄長，要對司馬
懿提高警戒。後來司馬懿發動政變，將他
與其兄同罪處斬。"
314,97,"魏將，曹操的族子。曹丕時代歷任鎮南將
軍、征東大將軍。對吳作戰時，中了周魴
的計謀，打了大敗仗，後來心痛而死。"
315,366,"魏將，曹真的三子。兄長曹爽奪取司馬懿
的兵權後，任命他為武衛將軍，後來司馬
懿發動政變奪回兵權，便把他處死。"
316,367,"呂布麾下之將。見同僚侯成因小事而遭杖
責，心生不滿，便與侯成、魏續一起投降
了曹操。後來與袁紹軍交戰時，死在猛將
顏良刀下。"
317,595,"東吳末期的武將。聽從張悌之計，任都督
之職，在江陵迎擊晉朝的杜預，但失敗被
擒，遭到處斬。"
318,187,"曹操的長子。當曹操遭到張繡的夜襲，在
敗軍之中，把自己的馬讓給曹操，曹操因
此脫險，但自己卻沒能逃脫而戰死。"
319,47,"魏將，曹操的堂弟。曹操起兵時，與曹仁
一起加入，成為曹軍的中流砥柱，轉戰各
地，表現活躍。曹丕即位後，歷任魏國衛
將軍、驃騎將軍。"
320,368,"曹仁之弟。率領曹操軍的精銳部隊「虎豹
騎」。出兵救援鎮守南郡的曹仁，但是敗
給東吳都督周瑜。"
321,21,"曹操之三子（卞氏所生）。勇武過人，是
赤手打死過猛獸的猛將，綽號「黃鬚兒」
。在爭奪漢中的戰役中，救出被敵軍追擊
的父親曹操。"
322,48,"曹操之四子（卞氏所生），與曹丕爭奪太
子之位。極富詩文才華，留給後世很多詩
作。死後，在杜甫出現以前，人們一直稱
他為「詩聖」。"
323,98,"魏將，曹操的族子，曹丕死前的託孤之臣
。擔任大都督，與蜀漢的北伐軍作戰，但
是在諸葛亮的妙計下敗戰連連，更因收到
挑釁的信件，氣憤而死。"
324,24,"魏將，曹操的堂弟。精通各種武藝，擅長
射箭、騎馬。赤壁之戰後守備荊州，曹丕
時代則擔任魏國的大司馬。"
325,369,"呂布麾下的武將。見同僚高順被夏侯惇追
趕，在亂軍之中放箭射瞎夏侯惇的左目，
但馬上就遭到被激怒的夏侯惇刺死。"
326,60,"魏王。黃巾大亂之際，身為騎都尉參加討
賊，從此顯露頭角。董卓死後，縱橫亂世
，南征北戰，構築了大國魏國的基礎。死
後被追諡為魏武帝。"
327,99,"魏將，曹真的長子。與司馬懿一起受命輔
佐年幼的曹芳，假意奉司馬懿為太傅，卻
自己掌握了實權，但後來被司馬懿暗算，
誅連三族。"
328,561,"曹操之子。天資聰穎，深受曹操喜愛，但
十三歲便病死，曹操嘆息著對曹丕等人說
「此我之不幸，而汝曹之幸也」。"
329,261,"原為陶謙的屬下，在討伐黃巾黨時表現活
躍，後來成為呂布的屬下，四處轉戰。對
曹操作戰時，結納山賊抵抗，令曹操頭疼
。呂布滅亡後，歸順了曹操。"
330,61,"魏國開國皇帝，曹操的次子（卞氏所生）
。繼承魏王之位以後，強迫獻帝禪讓，奪
取了帝位。攻打蜀漢、東吳，皆無戰果。
追諡魏文帝。"
331,281,"陶謙的部屬。當曹操攻打徐州，正欲與夏
侯惇單挑時，突然狂風驟起，因而撤退。
後來成為劉備的屬下，但是與張飛相爭，
最後被斬殺身亡。"
332,275,"曹叡的養子，年僅八歲便即帝位。發詔給
夏侯玄等人密謀誅殺司馬氏，但被發覺，
被司馬師奪去帝位，降為齊王。"
333,276,"曹丕之孫。曹芳被廢後不久，便被司馬師
立為魏帝。由於憂心司馬氏的專橫，親自
率領親信欲討伐司馬昭，卻被成濟所殺。"
